Entity,Code,Year,Solar (TWh – sub method)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.03650280698
Africa,,2001,0.045149480564000005
Africa,,2002,0.053388376044000006
Africa,,2003,0.062739216858
Africa,,2004,0.074337281692
Africa,,2005,0.08708756967
Africa,,2006,0.10867453138400002
Africa,,2007,0.14166678
Africa,,2008,0.198330436442
Africa,,2009,0.257500206
Africa,,2010,0.557508501562
Africa,,2011,1.173377605368
Africa,,2012,1.419609746798
Africa,,2013,2.1105316884240004
Africa,,2014,4.660518450634
Africa,,2015,9.096296999254001
Africa,,2016,12.421350492628
Africa,,2017,17.460140634768
Africa,,2018,24.481567640794005
Africa,,2019,47.98410644281
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.0237270189816
Algeria,DZA,2011,0.046954204230000005
Algeria,DZA,2012,0.06883199951
Algeria,DZA,2013,0.073222836356
Algeria,DZA,2014,0.15269484437800002
Algeria,DZA,2015,0.146726228492
Algeria,DZA,2016,0.616124659566
Algeria,DZA,2017,1.2600010080000001
Algeria,DZA,2018,1.4986853656140002
Algeria,DZA,2019,1.5228742738540002
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.00004722226
Argentina,ARG,1999,0.00007222228
Argentina,ARG,2000,0.00010000008000000001
Argentina,ARG,2001,0.000118668983824
Argentina,ARG,2002,0.00012887093643
Argentina,ARG,2003,0.00017708347500000002
Argentina,ARG,2004,0.00018949070714800002
Argentina,ARG,2005,0.000217879896526
Argentina,ARG,2006,0.00024056630356400003
Argentina,ARG,2007,0.00028926689808000006
Argentina,ARG,2008,0.0003793336368000001
Argentina,ARG,2009,0.00019960321523800002
Argentina,ARG,2010,0.000223946568046
Argentina,ARG,2011,0.0041826144572
Argentina,ARG,2012,0.0210516001746
Argentina,ARG,2013,0.038593364208000004
Argentina,ARG,2014,0.040576143572000005
Argentina,ARG,2015,0.037144474159999996
Argentina,ARG,2016,0.03589363982600001
Argentina,ARG,2017,0.041042532834
Argentina,ARG,2018,0.268744381662
Argentina,ARG,2019,1.9802268619580001
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.015138901000000001
Australia,AUS,1992,0.033611138000000006
Australia,AUS,1993,0.040555588000000004
Australia,AUS,1994,0.048333372000000006
Australia,AUS,1995,0.05875004700000001
Australia,AUS,1996,0.071111168
Australia,AUS,1997,0.085138957
Australia,AUS,1998,0.09888896800000001
Australia,AUS,1999,0.11277786799999999
Australia,AUS,2000,0.129861215
Australia,AUS,2001,0.149440119552
Australia,AUS,2002,0.159854850106
Australia,AUS,2003,0.172179582188
Australia,AUS,2004,0.197476269092
Australia,AUS,2005,0.22608406975599998
Australia,AUS,2006,0.26061354182400004
Australia,AUS,2007,0.302148575052
Australia,AUS,2008,0.36745362729600006
Australia,AUS,2009,0.7614381091500001
Australia,AUS,2010,2.5490850948220003
Australia,AUS,2011,5.298371738694001
Australia,AUS,2012,6.212732192404
Australia,AUS,2013,9.850278991328
Australia,AUS,2014,12.602405359694
Australia,AUS,2015,15.700932282958002
Australia,AUS,2016,18.797615315858
Australia,AUS,2017,22.393599581532005
Australia,AUS,2018,30.518614137094005
Australia,AUS,2019,44.449890837662004
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.0027777800000000005
Austria,AUT,1994,0.0027777800000000005
Austria,AUT,1995,0.0027777800000000005
